channel,date,min,max,mean,stDev
1,2020-10-18,0.0,0.7857306599617004,0.06783729928258349,0.1503850123968688
1,2020-10-19,0.0,1.0,0.1531359102673019,0.2249577441061627
1,2020-10-20,NaN,NaN,NaN,NaN
1,2020-10-21,0.0,1.0,0.06440212430740344,0.14051311762245622
1,2020-10-22,0.0,1.0,0.17429397906704272,0.288964506780742
1,2020-10-23,0.0,1.0,0.21236660076494907,0.28972178240058877
1,2020-10-24,0.0,1.0,0.38157820849854585,0.31972589612024427
1,2020-10-25,NaN,NaN,NaN,NaN
1,2020-10-26,NaN,NaN,NaN,NaN
1,2020-10-27,0.0,0.8139788508415222,0.04937708943118643,0.1398926057520654
1,2020-10-28,0.0,1.0,0.12156001932668498,0.20721596403074075
1,2020-10-29,0.0,1.0,0.16188191202124777,0.22334140621791954
1,2020-10-30,0.0,1.0,0.30337025413069024,0.36054702409471145
1,2020-10-31,0.0,1.0,0.18279829442933482,0.2768626870260889
1,2020-11-01,NaN,NaN,NaN,NaN
1,2020-11-02,NaN,NaN,NaN,NaN
1,2020-11-03,0.0,1.0,0.3606914160052522,0.3352601283733701
1,2020-11-04,0.0,1.0,0.325638572502286,0.3309128881014604
1,2020-11-05,0.0,1.0,0.1984596554953938,0.2653272124116432
1,2020-11-06,0.0,1.0,0.17978422316774575,0.27949324758498423
1,2020-11-07,NaN,NaN,NaN,NaN
1,2020-11-08,0.0,1.0,0.10484378930313647,0.20686823452941458
1,2020-11-09,0.0,1.0,0.17872533069337143,0.30365202289675236
1,2020-11-10,0.0,1.0,0.16149318778986008,0.25779967359178413
1,2020-11-11,NaN,NaN,NaN,NaN
1,2020-11-12,NaN,NaN,NaN,NaN
1,2020-11-13,0.0,1.0,0.07707641163090487,0.15981168236610732
1,2020-11-14,0.0,1.0,0.06234141272662332,0.1582012927571513
1,2020-11-15,0.0,1.0,0.10468942526662894,0.19750867176595316
1,2020-11-16,0.0,1.0,0.21911839800798957,0.2926804621453915
1,2020-11-17,0.0,1.0,0.10239505482781264,0.20190745247628925
1,2020-11-18,0.0,1.0,0.16031692113972953,0.24518187566247113
1,2020-11-19,0.0,1.0,0.08954744597595361,0.16715926024237754
1,2020-11-20,0.0,1.0,0.15575561387348788,0.25368368565052746
1,2020-11-21,0.0,1.0,0.13491842474682017,0.20321856202670768
1,2020-11-22,0.0,1.0,0.14905533739674037,0.22369623686217266
1,2020-11-23,0.0,1.0,0.1253908150204586,0.2110036555474305
1,2020-11-24,0.0,1.0,0.23120252665882535,0.27662091337121275
1,2020-11-25,0.0,0.8848973512649536,0.07563357944317416,0.1426702751046557
1,2020-11-26,0.0,1.0,0.15335995996929563,0.2341326346301258
1,2020-11-27,0.0,1.0,0.1938787314611897,0.2682996771181641
1,2020-11-28,0.0,1.0,0.20041289306772014,0.27337378299029097
1,2020-11-29,0.0,0.8853722810745239,0.06635513336375459,0.12674792598390527
1,2020-11-30,0.0,1.0,0.10091253712327522,0.16222155409800953
1,2020-12-01,0.0,1.0,0.3330484660753158,0.3727372810847984
1,2020-12-02,0.0,1.0,0.32931542622368404,0.3635511028775163
1,2020-12-03,0.0,0.9471921920776367,0.24829934305631124,0.27635119917135975
1,2020-12-04,0.0,1.0,0.18841580890002385,0.22007085280917446
1,2020-12-05,0.0,1.0,0.07772698101542648,0.18021212737769354
1,2020-12-06,0.0,1.0,0.07568697534818135,0.17295870150970188
1,2020-12-07,0.0,1.0,0.36792885336513054,0.38215794947620957
1,2020-12-08,0.0,1.0,0.05356623991542368,0.15448266564865856
1,2020-12-09,0.0,1.0,0.15484349754356305,0.24085619048351045
1,2020-12-10,0.0,0.41624680161476135,0.025878078175055146,0.08103991809800608
1,2020-12-11,0.0,1.0,0.11482835160119922,0.21456303731163093
1,2020-12-12,0.0,1.0,0.1891024268115529,0.2730789909534558
1,2020-12-13,0.0,1.0,0.15521017554126953,0.23799986743638502
